id,rations,oil,coal,uranium,bauxite,iron,lead,copper,lumber,components,steel,consumer_goods,aluminium,gasoline,ammunition
539,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
549,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
559,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
568,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
579,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
584,1260,0,19,0,0,22,0,0,445,0,74,6371,105,0,0
726,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
725,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
621,630,0,3186,0,9560,0,9082,2050,295,0,85,252,50,0,0
622,13401,1777,0,0,4119,0,0,0,340,0,370,9289,0,0,0
586,0,0,0,0,0,0,0,0,400,0,250,0,400,0,0
439,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
449,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
632,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
645,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
686,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
685,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
1,9969101451,9999999000,10000000000,9998996480,10000000000,10000000000,10000000000,10000000100,9990025563,9999999000,9989998050,9990902861,9989999550,10000000000,10000000000
9999,1001000,0,0,0,0,0,0,0,1023437,0,500000,0,500400,0,0
739,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
738,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
616,1344,10755,980,0,0,10957,0,0,340,0,40,0,70,0,0
652,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
661,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
672,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
681,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
690,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
745,10,0,0,0,0,0,0,0,400,0,250,0,200,0,0
600,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
595,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
612,0,0,0,0,0,0,0,0,400,0,195,0,200,0,0
614,0,0,0,0,0,0,0,0,400,0,250,0,200,0,0
749,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
748,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
623,0,0,0,0,0,0,0,0,400,0,0,0,200,0,0
624,39201,2500,0,0,0,0,0,0,230,0,595,168,330,0,0
